: sem1_capital-conturies
아테네 그리스 바그다드 이라크
갈릴레이 이탈리아 잔다르크 프랑스
갈릴레이 이탈리아 제갈량 중국
갈릴레이 이탈리아 징기스칸 몽골
갈릴레이 이탈리아 카이사르 로마
갈릴레이 이탈리아 칸트 독일
갈릴레이 이탈리아 케플러 독일
갈릴레이 이탈리아 코페르니쿠스 폴란드
갈릴레이 이탈리아 클레오파트라 이집트
갈릴레이 이탈리아 타고르 인도
갈릴레이 이탈리아 톨스토이 러시아
갈릴레이 이탈리아 파스칼 프랑스
갈릴레이 이탈리아 플라톤 그리스
갈릴레이 이탈리아 피카소 스페인
갈릴레이 이탈리아 피타고라스 그리스
갈릴레이 이탈리아 헤겔 독일
갈릴레이 이탈리아 호치민 베트남
갈릴레이 이탈리아 호킹 영국
고흐 네덜란드 공자 중국
고흐 네덜란드 나폴레옹 프랑스
고흐 네덜란드 노벨 스웨덴
고흐 네덜란드 다윈 영국
고흐 네덜란드 데카르트 프랑스
고흐 네덜란드 도스토예프스키 러시아
고흐 네덜란드 도쿠가와 일본
고흐 네덜란드 디킨스 영국
고흐 네덜란드 라부아지에 프랑스
고흐 네덜란드 라이프니츠 독일
고흐 네덜란드 레논 영국
고흐 네덜란드 레닌 러시아
고흐 네덜란드 링컨 미국
고흐 네덜란드 마르크스 독일
고흐 네덜란드 마키아밸리 이탈리아
고흐 네덜란드 맹자 중국
고흐 네덜란드 바흐 독일
고흐 네덜란드 베토벤 독일
고흐 네덜란드 세종대왕 한국
고흐 네덜란드 셰익스피어 영국
고흐 네덜란드 쇼팽 폴란드
고흐 네덜란드 스피노자 네덜란드
고흐 네덜란드 아리스토텔레스 그리스
고흐 네덜란드 안데르센 덴마크
고흐 네덜란드 에디슨 미국
고흐 네덜란드 유클리드 그리스
고흐 네덜란드 잔다르크 프랑스
고흐 네덜란드 제갈량 중국
고흐 네덜란드 징기스칸 몽골
고흐 네덜란드 카이사르 로마
고흐 네덜란드 칸트 독일
고흐 네덜란드 케플러 독일
고흐 네덜란드 코페르니쿠스 폴란드
고흐 네덜란드 클레오파트라 이집트
고흐 네덜란드 타고르 인도
고흐 네덜란드 톨스토이 러시아
고흐 네덜란드 파스칼 프랑스
고흐 네덜란드 플라톤 그리스
고흐 네덜란드 피카소 스페인
고흐 네덜란드 피타고라스 그리스
고흐 네덜란드 헤겔 독일
고흐 네덜란드 호치민 베트남
고흐 네덜란드 호킹 영국
공자 중국 나폴레옹 프랑스
공자 중국 노벨 스웨덴
공자 중국 다윈 영국
공자 중국 데카르트 프랑스
공자 중국 도스토예프스키 러시아
공자 중국 도쿠가와 일본
공자 중국 디킨스 영국
공자 중국 라부아지에 프랑스
공자 중국 라이프니츠 독일
공자 중국 레논 영국
공자 중국 레닌 러시아
공자 중국 링컨 미국
공자 중국 마르크스 독일
공자 중국 마키아밸리 이탈리아
공자 중국 맹자 중국
공자 중국 바흐 독일
공자 중국 베토벤 독일
공자 중국 세종대왕 한국
공자 중국 셰익스피어 영국
공자 중국 쇼팽 폴란드
공자 중국 스피노자 네덜란드
공자 중국 아리스토텔레스 그리스
공자 중국 안데르센 덴마크
공자 중국 에디슨 미국
공자 중국 유클리드 그리스
공자 중국 잔다르크 프랑스
공자 중국 제갈량 중국
공자 중국 징기스칸 몽골
공자 중국 카이사르 로마
공자 중국 칸트 독일
공자 중국 케플러 독일
공자 중국 코페르니쿠스 폴란드
공자 중국 클레오파트라 이집트
공자 중국 타고르 인도
공자 중국 톨스토이 러시아
공자 중국 파스칼 프랑스
공자 중국 플라톤 그리스
공자 중국 피카소 스페인
공자 중국 피타고라스 그리스
공자 중국 헤겔 독일
공자 중국 호치민 베트남
공자 중국 호킹 영국
나폴레옹 프랑스 노벨 스웨덴
나폴레옹 프랑스 다윈 영국
나폴레옹 프랑스 데카르트 프랑스
나폴레옹 프랑스 도스토예프스키 러시아
나폴레옹 프랑스 도쿠가와 일본
나폴레옹 프랑스 디킨스 영국
나폴레옹 프랑스 라부아지에 프랑스
나폴레옹 프랑스 라이프니츠 독일
나폴레옹 프랑스 레논 영국
나폴레옹 프랑스 레닌 러시아
나폴레옹 프랑스 링컨 미국
나폴레옹 프랑스 마르크스 독일
나폴레옹 프랑스 마키아밸리 이탈리아
나폴레옹 프랑스 맹자 중국
나폴레옹 프랑스 바흐 독일
나폴레옹 프랑스 베토벤 독일
나폴레옹 프랑스 세종대왕 한국
나폴레옹 프랑스 셰익스피어 영국
나폴레옹 프랑스 쇼팽 폴란드
나폴레옹 프랑스 스피노자 네덜란드
나폴레옹 프랑스 아리스토텔레스 그리스
나폴레옹 프랑스 안데르센 덴마크
나폴레옹 프랑스 에디슨 미국
나폴레옹 프랑스 유클리드 그리스
나폴레옹 프랑스 잔다르크 프랑스
나폴레옹 프랑스 제갈량 중국
나폴레옹 프랑스 징기스칸 몽골
나폴레옹 프랑스 카이사르 로마
나폴레옹 프랑스 칸트 독일
나폴레옹 프랑스 케플러 독일
나폴레옹 프랑스 코페르니쿠스 폴란드
나폴레옹 프랑스 클레오파트라 이집트
나폴레옹 프랑스 타고르 인도
나폴레옹 프랑스 톨스토이 러시아
나폴레옹 프랑스 파스칼 프랑스
나폴레옹 프랑스 플라톤 그리스
나폴레옹 프랑스 피카소 스페인
나폴레옹 프랑스 피타고라스 그리스
나폴레옹 프랑스 헤겔 독일
나폴레옹 프랑스 호치민 베트남
나폴레옹 프랑스 호킹 영국
노벨 스웨덴 다윈 영국
노벨 스웨덴 데카르트 프랑스
노벨 스웨덴 도스토예프스키 러시아
노벨 스웨덴 도쿠가와 일본
노벨 스웨덴 디킨스 영국
노벨 스웨덴 라부아지에 프랑스
노벨 스웨덴 라이프니츠 독일
노벨 스웨덴 레논 영국
노벨 스웨덴 레닌 러시아
노벨 스웨덴 링컨 미국
노벨 스웨덴 마르크스 독일
노벨 스웨덴 마키아밸리 이탈리아
노벨 스웨덴 맹자 중국
노벨 스웨덴 바흐 독일
노벨 스웨덴 베토벤 독일
노벨 스웨덴 세종대왕 한국
노벨 스웨덴 셰익스피어 영국
노벨 스웨덴 쇼팽 폴란드
노벨 스웨덴 스피노자 네덜란드
노벨 스웨덴 아리스토텔레스 그리스
노벨 스웨덴 안데르센 덴마크
노벨 스웨덴 에디슨 미국
노벨 스웨덴 유클리드 그리스
노벨 스웨덴 잔다르크 프랑스
노벨 스웨덴 제갈량 중국
노벨 스웨덴 징기스칸 몽골
노벨 스웨덴 카이사르 로마
노벨 스웨덴 칸트 독일
노벨 스웨덴 케플러 독일
노벨 스웨덴 코페르니쿠스 폴란드
노벨 스웨덴 클레오파트라 이집트
노벨 스웨덴 타고르 인도
노벨 스웨덴 톨스토이 러시아
노벨 스웨덴 파스칼 프랑스
노벨 스웨덴 플라톤 그리스
노벨 스웨덴 피카소 스페인
노벨 스웨덴 피타고라스 그리스
노벨 스웨덴 헤겔 독일
노벨 스웨덴 호치민 베트남
노벨 스웨덴 호킹 영국
다윈 영국 데카르트 프랑스
다윈 영국 도스토예프스키 러시아
다윈 영국 도쿠가와 일본
다윈 영국 디킨스 영국
다윈 영국 라부아지에 프랑스
다윈 영국 라이프니츠 독일
다윈 영국 레논 영국
다윈 영국 레닌 러시아
다윈 영국 링컨 미국
다윈 영국 마르크스 독일
다윈 영국 마키아밸리 이탈리아
다윈 영국 맹자 중국
다윈 영국 바흐 독일
다윈 영국 베토벤 독일
다윈 영국 세종대왕 한국
다윈 영국 셰익스피어 영국
다윈 영국 쇼팽 폴란드
다윈 영국 스피노자 네덜란드
다윈 영국 아리스토텔레스 그리스
다윈 영국 안데르센 덴마크
다윈 영국 에디슨 미국
다윈 영국 유클리드 그리스
다윈 영국 잔다르크 프랑스
다윈 영국 제갈량 중국
다윈 영국 징기스칸 몽골
다윈 영국 카이사르 로마
다윈 영국 칸트 독일
다윈 영국 케플러 독일
다윈 영국 코페르니쿠스 폴란드
다윈 영국 클레오파트라 이집트
다윈 영국 타고르 인도
다윈 영국 톨스토이 러시아
다윈 영국 파스칼 프랑스
다윈 영국 플라톤 그리스
다윈 영국 피카소 스페인
다윈 영국 피타고라스 그리스
다윈 영국 헤겔 독일
다윈 영국 호치민 베트남
다윈 영국 호킹 영국
데카르트 프랑스 도스토예프스키 러시아
데카르트 프랑스 도쿠가와 일본
데카르트 프랑스 디킨스 영국
데카르트 프랑스 라부아지에 프랑스
데카르트 프랑스 라이프니츠 독일
데카르트 프랑스 레논 영국
데카르트 프랑스 레닌 러시아
데카르트 프랑스 링컨 미국
데카르트 프랑스 마르크스 독일
데카르트 프랑스 마키아밸리 이탈리아
데카르트 프랑스 맹자 중국
데카르트 프랑스 바흐 독일
데카르트 프랑스 베토벤 독일
데카르트 프랑스 세종대왕 한국
데카르트 프랑스 셰익스피어 영국
데카르트 프랑스 쇼팽 폴란드
데카르트 프랑스 스피노자 네덜란드
데카르트 프랑스 아리스토텔레스 그리스
데카르트 프랑스 안데르센 덴마크
데카르트 프랑스 에디슨 미국
데카르트 프랑스 유클리드 그리스
데카르트 프랑스 잔다르크 프랑스
데카르트 프랑스 제갈량 중국
데카르트 프랑스 징기스칸 몽골
데카르트 프랑스 카이사르 로마
데카르트 프랑스 칸트 독일
데카르트 프랑스 케플러 독일
데카르트 프랑스 코페르니쿠스 폴란드
데카르트 프랑스 클레오파트라 이집트
데카르트 프랑스 타고르 인도
데카르트 프랑스 톨스토이 러시아
데카르트 프랑스 파스칼 프랑스
데카르트 프랑스 플라톤 그리스
데카르트 프랑스 피카소 스페인
데카르트 프랑스 피타고라스 그리스
데카르트 프랑스 헤겔 독일
데카르트 프랑스 호치민 베트남
데카르트 프랑스 호킹 영국
도스토예프스키 러시아 도쿠가와 일본
도스토예프스키 러시아 디킨스 영국
도스토예프스키 러시아 라부아지에 프랑스
도스토예프스키 러시아 라이프니츠 독일
도스토예프스키 러시아 레논 영국
도스토예프스키 러시아 레닌 러시아
도스토예프스키 러시아 링컨 미국
도스토예프스키 러시아 마르크스 독일
도스토예프스키 러시아 마키아밸리 이탈리아
도스토예프스키 러시아 맹자 중국
도스토예프스키 러시아 바흐 독일
도스토예프스키 러시아 베토벤 독일
도스토예프스키 러시아 세종대왕 한국
도스토예프스키 러시아 셰익스피어 영국
도스토예프스키 러시아 쇼팽 폴란드
도스토예프스키 러시아 스피노자 네덜란드
도스토예프스키 러시아 아리스토텔레스 그리스
도스토예프스키 러시아 안데르센 덴마크
도스토예프스키 러시아 에디슨 미국
도스토예프스키 러시아 유클리드 그리스
도스토예프스키 러시아 잔다르크 프랑스
도스토예프스키 러시아 제갈량 중국
도스토예프스키 러시아 징기스칸 몽골
도스토예프스키 러시아 카이사르 로마
도스토예프스키 러시아 칸트 독일
도스토예프스키 러시아 케플러 독일
도스토예프스키 러시아 코페르니쿠스 폴란드
도스토예프스키 러시아 클레오파트라 이집트
도스토예프스키 러시아 타고르 인도
도스토예프스키 러시아 톨스토이 러시아
도스토예프스키 러시아 파스칼 프랑스
도스토예프스키 러시아 플라톤 그리스
도스토예프스키 러시아 피카소 스페인
도스토예프스키 러시아 피타고라스 그리스
도스토예프스키 러시아 헤겔 독일
도스토예프스키 러시아 호치민 베트남
도스토예프스키 러시아 호킹 영국
도쿠가와 일본 디킨스 영국
도쿠가와 일본 라부아지에 프랑스
도쿠가와 일본 라이프니츠 독일
도쿠가와 일본 레논 영국
도쿠가와 일본 레닌 러시아
도쿠가와 일본 링컨 미국
도쿠가와 일본 마르크스 독일
도쿠가와 일본 마키아밸리 이탈리아
도쿠가와 일본 맹자 중국
도쿠가와 일본 바흐 독일
도쿠가와 일본 베토벤 독일
도쿠가와 일본 세종대왕 한국
도쿠가와 일본 셰익스피어 영국
도쿠가와 일본 쇼팽 폴란드
도쿠가와 일본 스피노자 네덜란드
도쿠가와 일본 아리스토텔레스 그리스
도쿠가와 일본 안데르센 덴마크
도쿠가와 일본 에디슨 미국
도쿠가와 일본 유클리드 그리스
도쿠가와 일본 잔다르크 프랑스
도쿠가와 일본 제갈량 중국
도쿠가와 일본 징기스칸 몽골
도쿠가와 일본 카이사르 로마
도쿠가와 일본 칸트 독일
도쿠가와 일본 케플러 독일
도쿠가와 일본 코페르니쿠스 폴란드
도쿠가와 일본 클레오파트라 이집트
도쿠가와 일본 타고르 인도
도쿠가와 일본 톨스토이 러시아
도쿠가와 일본 파스칼 프랑스
도쿠가와 일본 플라톤 그리스
도쿠가와 일본 피카소 스페인
도쿠가와 일본 피타고라스 그리스
도쿠가와 일본 헤겔 독일
도쿠가와 일본 호치민 베트남
도쿠가와 일본 호킹 영국
디킨스 영국 라부아지에 프랑스
디킨스 영국 라이프니츠 독일
디킨스 영국 레논 영국
디킨스 영국 레닌 러시아
디킨스 영국 링컨 미국
디킨스 영국 마르크스 독일
디킨스 영국 마키아밸리 이탈리아
디킨스 영국 맹자 중국
디킨스 영국 바흐 독일
디킨스 영국 베토벤 독일
디킨스 영국 세종대왕 한국
디킨스 영국 셰익스피어 영국
디킨스 영국 쇼팽 폴란드
디킨스 영국 스피노자 네덜란드
디킨스 영국 아리스토텔레스 그리스
디킨스 영국 안데르센 덴마크
디킨스 영국 에디슨 미국
디킨스 영국 유클리드 그리스
디킨스 영국 잔다르크 프랑스
디킨스 영국 제갈량 중국
디킨스 영국 징기스칸 몽골
디킨스 영국 카이사르 로마
디킨스 영국 칸트 독일
디킨스 영국 케플러 독일
디킨스 영국 코페르니쿠스 폴란드
디킨스 영국 클레오파트라 이집트
디킨스 영국 타고르 인도
디킨스 영국 톨스토이 러시아
디킨스 영국 파스칼 프랑스
디킨스 영국 플라톤 그리스
디킨스 영국 피카소 스페인
